Step:0 Total_Time:0.0004792213439941406 Test_acc:0.0
Step:50 Total_Time:3.6894707679748535 Test_acc:0.0029296875
Step:100 Total_Time:7.357077121734619 Test_acc:0.00625
Step:150 Total_Time:11.032211780548096 Test_acc:0.0083984375
Step:200 Total_Time:14.698871850967407 Test_acc:0.013671875
Step:250 Total_Time:18.351165771484375 Test_acc:0.0162109375
Step:300 Total_Time:21.99356174468994 Test_acc:0.0185546875
Step:350 Total_Time:25.630698442459106 Test_acc:0.0228515625
Step:400 Total_Time:29.267934322357178 Test_acc:0.0236328125
Step:450 Total_Time:32.907275915145874 Test_acc:0.024609375
Step:500 Total_Time:36.55572986602783 Test_acc:0.026171875
Step:550 Total_Time:40.198665380477905 Test_acc:0.030078125
Step:600 Total_Time:43.84932255744934 Test_acc:0.029296875
Step:650 Total_Time:47.492663621902466 Test_acc:0.0333984375
Step:700 Total_Time:51.111454486846924 Test_acc:0.0353515625
Step:750 Total_Time:54.74310064315796 Test_acc:0.03828125
Step:800 Total_Time:58.39332318305969 Test_acc:0.039453125
Step:850 Total_Time:62.03724002838135 Test_acc:0.0412109375
Step:900 Total_Time:65.6881775856018 Test_acc:0.0443359375
Step:950 Total_Time:69.3270206451416 Test_acc:0.046875
Step:1000 Total_Time:72.96987915039062 Test_acc:0.0486328125
Step:1050 Total_Time:76.620197057724 Test_acc:0.053125
Step:1100 Total_Time:80.2626748085022 Test_acc:0.05078125
Step:1150 Total_Time:83.90236687660217 Test_acc:0.05390625
Step:1200 Total_Time:87.53398203849792 Test_acc:0.05625
Step:1250 Total_Time:91.18467402458191 Test_acc:0.0591796875
Step:1300 Total_Time:94.81389570236206 Test_acc:0.0580078125
Step:1350 Total_Time:98.49222469329834 Test_acc:0.06015625
Step:1400 Total_Time:102.12998914718628 Test_acc:0.06328125
Step:1450 Total_Time:105.7780544757843 Test_acc:0.0640625
Step:1500 Total_Time:109.40220832824707 Test_acc:0.065234375
Step:1550 Total_Time:113.08609127998352 Test_acc:0.068359375
Step:1600 Total_Time:116.74320602416992 Test_acc:0.0712890625
Step:1650 Total_Time:120.39541745185852 Test_acc:0.073046875
Step:1700 Total_Time:124.0371208190918 Test_acc:0.073828125
Step:1750 Total_Time:127.70649743080139 Test_acc:0.0783203125
Step:1800 Total_Time:131.35959935188293 Test_acc:0.08046875
Step:1850 Total_Time:134.9966504573822 Test_acc:0.081640625
Step:1900 Total_Time:138.6412227153778 Test_acc:0.08203125
OVERALL Step:1914 Total_Time:139.73797965049744 Test_acc:0.0818807579564489
Step:1950 Total_Time:142.31938195228577 Test_acc:0.083984375
Step:2000 Total_Time:145.96830296516418 Test_acc:0.09453125
Step:2050 Total_Time:149.620521068573 Test_acc:0.111328125
Step:2100 Total_Time:153.32191443443298 Test_acc:0.1236328125
Step:2150 Total_Time:156.99415612220764 Test_acc:0.1328125
Step:2200 Total_Time:160.63465881347656 Test_acc:0.1380859375
Step:2250 Total_Time:164.30239534378052 Test_acc:0.1443359375
Step:2300 Total_Time:167.95071935653687 Test_acc:0.154296875
Step:2350 Total_Time:171.61269879341125 Test_acc:0.1572265625
Step:2400 Total_Time:175.24694442749023 Test_acc:0.1630859375
